sport;year;state;gp;bp;gr;br;Row ;Column
Native Youth Olympics;2013/2014;MS;0;0;0;0;6;6,5
Decathlon;2013/2014;MS;0;0;0;0;6;6,5
Adapted Track;2013/2014;MS;0;0;0;0;6;6,5
Rodeo;2013/2014;MS;0;0;0;0;6;6,5
Volleyball;2013/2014;MT;3570;0;0,25862069;0;2;2,5
Basketball;2013/2014;MT;3086;3554;0,223558389;0,198270572;2;2,5
Track and Field -- Outdoor;2013/2014;MT;2424;3461;0,175601275;0,193082287;2;2,5
Softball -- Fast Pitch;2013/2014;MT;1107;0;0,080194147;0;2;2,5
Tennis;2013/2014;MT;1034;779;0,074905824;0,043458856;2;2,5
Cross Country;2013/2014;MT;931;1047;0,067444219;0,058410042;2;2,5
Soccer;2013/2014;MT;828;821;0,059982614;0,045801953;2;2,5
Golf;2013/2014;MT;480;1011;0,03477253;0,056401674;2;2,5
Swimming & Diving;2013/2014;MT;328;199;0,023761229;0,011101813;2;2,5
Wrestling;2013/2014;MT;12;1436;0,000869313;0,080111576;2;2,5
Football -- 11-Player;2013/2014;MT;3;4376;0,000217328;0,244128312;2;2,5
Football -- 6-player;2013/2014;MT;1;437;7,24428E-05;0,024379358;2;2,5
Team Tennis;2013/2014;MT;0;0;0;0;2;2,5
Football -- 8-player;2013/2014;MT;0;804;0;0,044853556;2;2,5
Dance Team, High Kick;2013/2014;MT;0;0;0;0;2;2,5
DANCE;2013/2014;MT;0;0;0;0;2;2,5
Track and Field -- Indoor;2013/2014;MT;0;0;0;0;2;2,5
Decathlon;2013/2014;MT;0;0;0;0;2;2,5
Heptathlon;2013/2014;MT;0;0;0;0;2;2,5
Dance Team, Jazz;2013/2014;MT;0;0;0;0;2;2,5
Badminton;2013/2014;MT;0;0;0;0;2;2,5
Adapted Softball;2013/2014;MT;0;0;0;0;2;2,5
Adapted Basketball;2013/2014;MT;0;0;0;0;2;2,5
Adapted Floor Hockey;2013/2014;MT;0;0;0;0;2;2,5
Soft Tennis;2013/2014;MT;0;0;0;0;2;2,5
sailing;2013/2014;MT;0;0;0;0;2;2,5
Outrigger Canoe Paddling LL;2013/2014;MT;0;0;0;0;2;2,5
Skiing -- Cross Country;2013/2014;MT;0;0;0;0;2;2,5
Native Youth Olympics;2013/2014;MT;0;0;0;0;2;2,5
Water Polo;2013/2014;MT;0;0;0;0;2;2,5
Football -- 9-player;2013/2014;MT;0;0;0;0;2;2,5
Adapted Track;2013/2014;MT;0;0;0;0;2;2,5
Lacrosse;2013/2014;MT;0;0;0;0;2;2,5
Snowboarding;2013/2014;MT;0;0;0;0;2;2,5
Surfing;2013/2014;MT;0;0;0;0;2;2,5
Equestrian;2013/2014;MT;0;0;0;0;2;2,5
Adapted Bowling;2013/2014;MT;0;0;0;0;2;2,5
Field Hockey;2013/2014;MT;0;0;0;0;2;2,5
Gymnastics;2013/2014;MT;0;0;0;0;2;2,5
Crew;2013/2014;MT;0;0;0;0;2;2,5
Synchronized Swimming;2013/2014;MT;0;0;0;0;2;2,5
Air Riflery;2013/2014;MT;0;0;0;0;2;2,5
None;2013/2014;MT;0;0;0;0;2;2,5
Mt. Biking;2013/2014;MT;0;0;0;0;2;2,5
Skiing -- Alpine;2013/2014;MT;0;0;0;0;2;2,5
Bowling;2013/2014;MT;0;0;0;0;2;2,5
Judo;2013/2014;MT;0;0;0;0;2;2,5
Ice Hockey;2013/2014;MT;0;0;0;0;2;2,5
Adapted Soccer;2013/2014;MT;0;0;0;0;2;2,5
Softball -- Slow Pitch;2013/2014;MT;0;0;0;0;2;2,5
Flag Football;2013/2014;MT;0;0;0;0;2;2,5
Kayaking;2013/2014;MT;0;0;0;0;2;2,5
Dance/Drill;2013/2014;MT;0;0;0;0;2;2,5
Drill Team;2013/2014;MT;0;0;0;0;2;2,5
Archery;2013/2014;MT;0;0;0;0;2;2,5
Baseball;2013/2014;MT;0;0;0;0;2;2,5
Competitive Spirit Squad;2013/2014;MT;0;0;0;0;2;2,5
Mixed 6-Coed Volleyball;2013/2014;MT;0;0;0;0;2;2,5
Weight Lifting;2013/2014;MT;0;0;0;0;2;2,5
Pentathlon;2013/2014;MT;0;0;0;0;2;2,5
Riflery;2013/2014;MT;0;0;0;0;2;2,5
Rodeo;2013/2014;MT;0;0;0;0;2;2,5
Fencing;2013/2014;MT;0;0;0;0;2;2,5
RUGBY;2013/2014;MT;0;0;0;0;2;2,5
Rythmic Gymnastics;2013/2014;MT;0;0;0;0;2;2,5
Competitive Spirit Squad;2013/2014;NC;16404;0;0,189031909;0;5;9
Soccer;2013/2014;NC;12031;13711;0,138639533;0,107734134;5;9
Track and Field -- Outdoor;2013/2014;NC;9908;14625;0,114175088;0,114915886;5;9
Volleyball;2013/2014;NC;9156;0;0,105509397;0;5;9
Softball -- Fast Pitch;2013/2014;NC;8901;0;0,102570898;0;5;9
Basketball;2013/2014;NC;8696;10694;0,100208576;0,084028067;5;9
Tennis;2013/2014;NC;4793;4392;0,055232257;0,034510124;5;9
Swimming & Diving;2013/2014;NC;4782;4039;0,055105498;0,031736428;5;9
Cross Country;2013/2014;NC;4741;8969;0,054633033;0,070473886;5;9
Track and Field -- Indoor;2013/2014;NC;3740;6125;0,043097985;0,048127166;5;9
Lacrosse;2013/2014;NC;1672;2880;0,019267334;0,02262959;5;9
Golf;2013/2014;NC;1292;3420;0,014888395;0,026872638;5;9
Field Hockey;2013/2014;NC;460;0;0,005300822;0;5;9
Gymnastics;2013/2014;NC;203;0;0,002339276;0;5;9
Soft Tennis;2013/2014;NC;0;0;0;0;5;9
Outrigger Canoe Paddling LL;2013/2014;NC;0;0;0;0;5;9
Football -- 6-player;2013/2014;NC;0;0;0;0;5;9
Snowboarding;2013/2014;NC;0;0;0;0;5;9
Mixed 6-Coed Volleyball;2013/2014;NC;0;0;0;0;5;9
Softball -- Slow Pitch;2013/2014;NC;0;0;0;0;5;9
Water Polo;2013/2014;NC;0;0;0;0;5;9
Bowling;2013/2014;NC;0;0;0;0;5;9
Judo;2013/2014;NC;0;0;0;0;5;9
Adapted Softball;2013/2014;NC;0;0;0;0;5;9
Dance Team, High Kick;2013/2014;NC;0;0;0;0;5;9
Adapted Soccer;2013/2014;NC;0;0;0;0;5;9
Fencing;2013/2014;NC;0;0;0;0;5;9
Crew;2013/2014;NC;0;0;0;0;5;9
Rythmic Gymnastics;2013/2014;NC;0;0;0;0;5;9
Football -- 9-player;2013/2014;NC;0;0;0;0;5;9
Wrestling;2013/2014;NC;0;9584;0;0,075306246;5;9
Team Tennis;2013/2014;NC;0;0;0;0;5;9
Decathlon;2013/2014;NC;0;0;0;0;5;9
Native Youth Olympics;2013/2014;NC;0;0;0;0;5;9
Skiing -- Alpine;2013/2014;NC;0;0;0;0;5;9
Dance Team, Jazz;2013/2014;NC;0;0;0;0;5;9
Drill Team;2013/2014;NC;0;0;0;0;5;9
Kayaking;2013/2014;NC;0;0;0;0;5;9
Skiing -- Cross Country;2013/2014;NC;0;0;0;0;5;9
Flag Football;2013/2014;NC;0;0;0;0;5;9
Badminton;2013/2014;NC;0;0;0;0;5;9
Surfing;2013/2014;NC;0;0;0;0;5;9
Mt. Biking;2013/2014;NC;0;0;0;0;5;9
None;2013/2014;NC;0;0;0;0;5;9
Weight Lifting;2013/2014;NC;0;0;0;0;5;9
Pentathlon;2013/2014;NC;0;0;0;0;5;9
Riflery;2013/2014;NC;0;0;0;0;5;9
Archery;2013/2014;NC;0;0;0;0;5;9
sailing;2013/2014;NC;0;0;0;0;5;9
Heptathlon;2013/2014;NC;0;0;0;0;5;9
Rodeo;2013/2014;NC;0;0;0;0;5;9
Football -- 8-player;2013/2014;NC;0;0;0;0;5;9
Ice Hockey;2013/2014;NC;0;0;0;0;5;9
Football -- 11-Player;2013/2014;NC;0;36273;0;0,285014969;5;9
Dance/Drill;2013/2014;NC;0;0;0;0;5;9
Baseball;2013/2014;NC;0;12555;0;0,098650868;5;9
Adapted Floor Hockey;2013/2014;NC;0;0;0;0;5;9
Synchronized Swimming;2013/2014;NC;0;0;0;0;5;9
RUGBY;2013/2014;NC;0;0;0;0;5;9
Air Riflery;2013/2014;NC;0;0;0;0;5;9
Adapted Track;2013/2014;NC;0;0;0;0;5;9
Equestrian;2013/2014;NC;0;0;0;0;5;9
DANCE;2013/2014;NC;0;0;0;0;5;9
Adapted Bowling;2013/2014;NC;0;0;0;0;5;9
Adapted Basketball;2013/2014;NC;0;0;0;0;5;9
Volleyball;2013/2014;ND;3215;0;0,301906282;0;2;3,5
Basketball;2013/2014;ND;2232;2915;0,209597145;0,194865967;2;3,5
Track and Field -- Outdoor;2013/2014;ND;1749;2152;0,164240774;0,143859884;2;3,5
Softball -- Fast Pitch;2013/2014;ND;771;0;0,072401164;0;2;3,5
Soccer;2013/2014;ND;535;583;0,050239459;0,038973193;2;3,5
Cross Country;2013/2014;ND;517;554;0,04854916;0,037034561;2;3,5
Golf;2013/2014;ND;501;888;0,047046671;0,059362257;2;3,5
Tennis;2013/2014;ND;448;273;0,042069678;0,018249883;2;3,5
Swimming & Diving;2013/2014;ND;334;290;0,031364447;0,019386323;2;3,5
Ice Hockey;2013/2014;ND;221;606;0,020753122;0,040510729;2;3,5
Gymnastics;2013/2014;ND;105;0;0,009860081;0;2;3,5
Wrestling;2013/2014;ND;9;985;0,00084515;0,065846648;2;3,5
Football -- 11-Player;2013/2014;ND;6;3199;0,000563433;0,213851193;2;3,5
Baseball;2013/2014;ND;5;1622;0,000469528;0,108429708;2;3,5
Football -- 9-player;2013/2014;ND;1;892;9,39055E-05;0,059629654;2;3,5
Bowling;2013/2014;ND;0;0;0;0;2;3,5
Dance/Drill;2013/2014;ND;0;0;0;0;2;3,5
Snowboarding;2013/2014;ND;0;0;0;0;2;3,5
Mt. Biking;2013/2014;ND;0;0;0;0;2;3,5
Kayaking;2013/2014;ND;0;0;0;0;2;3,5
Dance Team, Jazz;2013/2014;ND;0;0;0;0;2;3,5
Air Riflery;2013/2014;ND;0;0;0;0;2;3,5
Dance Team, High Kick;2013/2014;ND;0;0;0;0;2;3,5
Adapted Soccer;2013/2014;ND;0;0;0;0;2;3,5
Archery;2013/2014;ND;0;0;0;0;2;3,5
Track and Field -- Indoor;2013/2014;ND;0;0;0;0;2;3,5
Native Youth Olympics;2013/2014;ND;0;0;0;0;2;3,5
Badminton;2013/2014;ND;0;0;0;0;2;3,5
Judo;2013/2014;ND;0;0;0;0;2;3,5
Skiing -- Alpine;2013/2014;ND;0;0;0;0;2;3,5
Decathlon;2013/2014;ND;0;0;0;0;2;3,5
Crew;2013/2014;ND;0;0;0;0;2;3,5
Skiing -- Cross Country;2013/2014;ND;0;0;0;0;2;3,5
RUGBY;2013/2014;ND;0;0;0;0;2;3,5
Soft Tennis;2013/2014;ND;0;0;0;0;2;3,5
Weight Lifting;2013/2014;ND;0;0;0;0;2;3,5
Field Hockey;2013/2014;ND;0;0;0;0;2;3,5
Adapted Floor Hockey;2013/2014;ND;0;0;0;0;2;3,5
Lacrosse;2013/2014;ND;0;0;0;0;2;3,5
Water Polo;2013/2014;ND;0;0;0;0;2;3,5
Surfing;2013/2014;ND;0;0;0;0;2;3,5
Rodeo;2013/2014;ND;0;0;0;0;2;3,5
Adapted Bowling;2013/2014;ND;0;0;0;0;2;3,5
Competitive Spirit Squad;2013/2014;ND;0;0;0;0;2;3,5
Drill Team;2013/2014;ND;0;0;0;0;2;3,5
Equestrian;2013/2014;ND;0;0;0;0;2;3,5
Heptathlon;2013/2014;ND;0;0;0;0;2;3,5
Adapted Softball;2013/2014;ND;0;0;0;0;2;3,5
Team Tennis;2013/2014;ND;0;0;0;0;2;3,5
DANCE;2013/2014;ND;0;0;0;0;2;3,5
Mixed 6-Coed Volleyball;2013/2014;ND;0;0;0;0;2;3,5
Fencing;2013/2014;ND;0;0;0;0;2;3,5
None;2013/2014;ND;0;0;0;0;2;3,5
Adapted Basketball;2013/2014;ND;0;0;0;0;2;3,5
Synchronized Swimming;2013/2014;ND;0;0;0;0;2;3,5
Adapted Track;2013/2014;ND;0;0;0;0;2;3,5
Pentathlon;2013/2014;ND;0;0;0;0;2;3,5
Football -- 8-player;2013/2014;ND;0;0;0;0;2;3,5
Outrigger Canoe Paddling LL;2013/2014;ND;0;0;0;0;2;3,5
Softball -- Slow Pitch;2013/2014;ND;0;0;0;0;2;3,5
Flag Football;2013/2014;ND;0;0;0;0;2;3,5
Rythmic Gymnastics;2013/2014;ND;0;0;0;0;2;3,5
Football -- 6-player;2013/2014;ND;0;0;0;0;2;3,5
sailing;2013/2014;ND;0;0;0;0;2;3,5
Riflery;2013/2014;ND;0;0;0;0;2;3,5
Volleyball;2013/2014;NE;7111;0;0,227101431;0;4;4,5
Track and Field -- Outdoor;2013/2014;NE;6958;8435;0,222215125;0,184218573;4;4,5
Basketball;2013/2014;NE;6207;7409;0,19823071;0,161810955;4;4,5
Softball -- Fast Pitch;2013/2014;NE;2504;0;0,079969341;0;4;4,5
Soccer;2013/2014;NE;2473;2647;0,078979305;0,057809907;4;4,5
Cross Country;2013/2014;NE;2195;2839;0,07010092;0,062003145;4;4,5
Tennis;2013/2014;NE;1395;1024;0,04455161;0,022363938;4;4,5
Golf;2013/2014;NE;1306;2592;0,041709249;0,056608718;4;4,5
Swimming & Diving;2013/2014;NE;1041;831;0,03324604;0,01814886;4;4,5
Wrestling;2013/2014;NE;89;4519;0,002842361;0,098693981;4;4,5
Football -- 11-Player;2013/2014;NE;17;9984;0,000542923;0,218048397;4;4,5
Football -- 8-player;2013/2014;NE;14;3211;0,000447113;0,070127544;4;4,5
Baseball;2013/2014;NE;2;2297;6,38733E-05;0,050165982;4;4,5
Mt. Biking;2013/2014;NE;0;0;0;0;4;4,5
Football -- 9-player;2013/2014;NE;0;0;0;0;4;4,5
Dance Team, High Kick;2013/2014;NE;0;0;0;0;4;4,5
Rythmic Gymnastics;2013/2014;NE;0;0;0;0;4;4,5
Synchronized Swimming;2013/2014;NE;0;0;0;0;4;4,5
Air Riflery;2013/2014;NE;0;0;0;0;4;4,5
Gymnastics;2013/2014;NE;0;0;0;0;4;4,5
Pentathlon;2013/2014;NE;0;0;0;0;4;4,5
Adapted Soccer;2013/2014;NE;0;0;0;0;4;4,5
Track and Field -- Indoor;2013/2014;NE;0;0;0;0;4;4,5
Decathlon;2013/2014;NE;0;0;0;0;4;4,5
Bowling;2013/2014;NE;0;0;0;0;4;4,5
RUGBY;2013/2014;NE;0;0;0;0;4;4,5
Dance/Drill;2013/2014;NE;0;0;0;0;4;4,5
Kayaking;2013/2014;NE;0;0;0;0;4;4,5
Field Hockey;2013/2014;NE;0;0;0;0;4;4,5
Ice Hockey;2013/2014;NE;0;0;0;0;4;4,5
Team Tennis;2013/2014;NE;0;0;0;0;4;4,5
Adapted Softball;2013/2014;NE;0;0;0;0;4;4,5
Weight Lifting;2013/2014;NE;0;0;0;0;4;4,5
Football -- 6-player;2013/2014;NE;0;0;0;0;4;4,5
DANCE;2013/2014;NE;0;0;0;0;4;4,5
Skiing -- Alpine;2013/2014;NE;0;0;0;0;4;4,5
Fencing;2013/2014;NE;0;0;0;0;4;4,5
Drill Team;2013/2014;NE;0;0;0;0;4;4,5
Soft Tennis;2013/2014;NE;0;0;0;0;4;4,5
Native Youth Olympics;2013/2014;NE;0;0;0;0;4;4,5
Lacrosse;2013/2014;NE;0;0;0;0;4;4,5
Adapted Track;2013/2014;NE;0;0;0;0;4;4,5
sailing;2013/2014;NE;0;0;0;0;4;4,5
Outrigger Canoe Paddling LL;2013/2014;NE;0;0;0;0;4;4,5
Riflery;2013/2014;NE;0;0;0;0;4;4,5
Competitive Spirit Squad;2013/2014;NE;0;0;0;0;4;4,5
Rodeo;2013/2014;NE;0;0;0;0;4;4,5
Adapted Basketball;2013/2014;NE;0;0;0;0;4;4,5
Heptathlon;2013/2014;NE;0;0;0;0;4;4,5
Adapted Floor Hockey;2013/2014;NE;0;0;0;0;4;4,5
Adapted Bowling;2013/2014;NE;0;0;0;0;4;4,5
Judo;2013/2014;NE;0;0;0;0;4;4,5
Skiing -- Cross Country;2013/2014;NE;0;0;0;0;4;4,5
Flag Football;2013/2014;NE;0;0;0;0;4;4,5
Surfing;2013/2014;NE;0;0;0;0;4;4,5
Dance Team, Jazz;2013/2014;NE;0;0;0;0;4;4,5
Water Polo;2013/2014;NE;0;0;0;0;4;4,5
Snowboarding;2013/2014;NE;0;0;0;0;4;4,5
Mixed 6-Coed Volleyball;2013/2014;NE;0;0;0;0;4;4,5
Equestrian;2013/2014;NE;0;0;0;0;4;4,5
Crew;2013/2014;NE;0;0;0;0;4;4,5
Archery;2013/2014;NE;0;0;0;0;4;4,5
Badminton;2013/2014;NE;0;0;0;0;4;4,5
None;2013/2014;NE;0;0;0;0;4;4,5
Softball -- Slow Pitch;2013/2014;NE;0;0;0;0;4;4,5
Soccer;2013/2014;NH;2685;3008;0,13199941;0,123602893;1;11
Track and Field -- Outdoor;2013/2014;NH;2134;2623;0,104911263;0,107782709;1;11
Softball -- Fast Pitch;2013/2014;NH;1983;0;0,097487832;0;1;11
Basketball;2013/2014;NH;1951;2493;0,095914655;0,102440828;1;11
Field Hockey;2013/2014;NH;1823;0;0,089621946;0;1;11
Volleyball;2013/2014;NH;1629;264;0,080084558;0,010848126;1;11
Lacrosse;2013/2014;NH;1558;2118;0,076594071;0,087031558;1;11
Track and Field -- Indoor;2013/2014;NH;1186;1340;0,058305885;0,055062459;1;11
Competitive Spirit Squad;2013/2014;NH;1152;33;0,056634384;0,001356016;1;11
Cross Country;2013/2014;NH;910;1207;0,04473723;0,049597304;1;11
Tennis;2013/2014;NH;879;741;0,043213215;0,030448718;1;11
Swimming & Diving;2013/2014;NH;706;436;0,034708225;0,017915845;1;11
Skiing -- Alpine;2013/2014;NH;403;539;0,019812202;0,022148258;1;11
Skiing -- Cross Country;2013/2014;NH;278;283;0,013666978;0,011628863;1;11
Adapted Basketball;2013/2014;NH;253;305;0,012437933;0,012532873;1;11
Ice Hockey;2013/2014;NH;231;1026;0,011356374;0,042159763;1;11
Gymnastics;2013/2014;NH;206;0;0,010127329;0;1;11
Adapted Soccer;2013/2014;NH;142;110;0,006980974;0,004520053;1;11
Adapted Track;2013/2014;NH;100;66;0,004916179;0,002712032;1;11
Bowling;2013/2014;NH;59;136;0,002900546;0,005588429;1;11
Golf;2013/2014;NH;47;844;0,002310604;0,034681131;1;11
Wrestling;2013/2014;NH;17;734;0,00083575;0,030161078;1;11
Football -- 11-Player;2013/2014;NH;7;3547;0,000344133;0,145751151;1;11
Baseball;2013/2014;NH;2;2483;9,83236E-05;0,102029915;1;11
DANCE;2013/2014;NH;0;0;0;0;1;11
RUGBY;2013/2014;NH;0;0;0;0;1;11
Water Polo;2013/2014;NH;0;0;0;0;1;11
Football -- 9-player;2013/2014;NH;0;0;0;0;1;11
sailing;2013/2014;NH;0;0;0;0;1;11
Heptathlon;2013/2014;NH;0;0;0;0;1;11
Equestrian;2013/2014;NH;0;0;0;0;1;11
Native Youth Olympics;2013/2014;NH;0;0;0;0;1;11
Crew;2013/2014;NH;0;0;0;0;1;11
Fencing;2013/2014;NH;0;0;0;0;1;11
Synchronized Swimming;2013/2014;NH;0;0;0;0;1;11
Adapted Bowling;2013/2014;NH;0;0;0;0;1;11
Weight Lifting;2013/2014;NH;0;0;0;0;1;11
Softball -- Slow Pitch;2013/2014;NH;0;0;0;0;1;11
Dance Team, High Kick;2013/2014;NH;0;0;0;0;1;11
Drill Team;2013/2014;NH;0;0;0;0;1;11
Adapted Softball;2013/2014;NH;0;0;0;0;1;11
Dance Team, Jazz;2013/2014;NH;0;0;0;0;1;11
Air Riflery;2013/2014;NH;0;0;0;0;1;11
Football -- 8-player;2013/2014;NH;0;0;0;0;1;11
Riflery;2013/2014;NH;0;0;0;0;1;11
Mixed 6-Coed Volleyball;2013/2014;NH;0;0;0;0;1;11
Judo;2013/2014;NH;0;0;0;0;1;11
None;2013/2014;NH;0;0;0;0;1;11
Adapted Floor Hockey;2013/2014;NH;0;0;0;0;1;11
Soft Tennis;2013/2014;NH;0;0;0;0;1;11
Surfing;2013/2014;NH;0;0;0;0;1;11
Rythmic Gymnastics;2013/2014;NH;0;0;0;0;1;11
Snowboarding;2013/2014;NH;0;0;0;0;1;11
Dance/Drill;2013/2014;NH;0;0;0;0;1;11
Flag Football;2013/2014;NH;0;0;0;0;1;11
Archery;2013/2014;NH;0;0;0;0;1;11
Kayaking;2013/2014;NH;0;0;0;0;1;11
Outrigger Canoe Paddling LL;2013/2014;NH;0;0;0;0;1;11
Pentathlon;2013/2014;NH;0;0;0;0;1;11
Rodeo;2013/2014;NH;0;0;0;0;1;11
Football -- 6-player;2013/2014;NH;0;0;0;0;1;11
Badminton;2013/2014;NH;0;0;0;0;1;11
Mt. Biking;2013/2014;NH;0;0;0;0;1;11
Team Tennis;2013/2014;NH;0;0;0;0;1;11
Decathlon;2013/2014;NH;0;0;0;0;1;11
Track and Field -- Outdoor;2013/2014;NJ;17721;19458;0,148238306;0,117588049;3;10
Soccer;2013/2014;NJ;14968;18710;0,125209128;0,113067756;3;10
Softball -- Fast Pitch;2013/2014;NJ;12749;0;0,106646925;0;3;10
Basketball;2013/2014;NJ;10701;14816;0,089515158;0,089535643;3;10
Track and Field -- Indoor;2013/2014;NJ;10546;11919;0,088218564;0,072028572;3;10
Lacrosse;2013/2014;NJ;9573;11919;0,080079301;0,072028572;3;10
Volleyball;2013/2014;NJ;8962;3460;0,074968213;0,020909377;3;10
Field Hockey;2013/2014;NJ;8516;0;0,071237369;0;3;10
Tennis;2013/2014;NJ;6875;6288;0,057510205;0,037999468;3;10
Swimming & Diving;2013/2014;NJ;6441;5296;0,053879743;0,032004641;3;10
Cross Country;2013/2014;NJ;6075;8395;0,050818109;0,050732432;3;10
Bowling;2013/2014;NJ;2230;2918;0,018654219;0,017633977;3;10
Golf;2013/2014;NJ;1288;4090;0,010774276;0,024716575;3;10
Gymnastics;2013/2014;NJ;1219;0;0,010197082;0;3;10
Fencing;2013/2014;NJ;1080;1431;0,00903433;0,00864778;3;10
Ice Hockey;2013/2014;NJ;203;3887;0,00169812;0,023489811;3;10
Football -- 11-Player;2013/2014;NJ;197;26138;0,001647929;0,157956441;3;10
Skiing -- Cross Country;2013/2014;NJ;117;198;0,000978719;0,001196548;3;10
Wrestling;2013/2014;NJ;83;10276;0,000694305;0,06209964;3;10
Badminton;2013/2014;NJ;0;0;0;0;3;10
Weight Lifting;2013/2014;NJ;0;0;0;0;3;10
Drill Team;2013/2014;NJ;0;0;0;0;3;10
Adapted Basketball;2013/2014;NJ;0;0;0;0;3;10
Mixed 6-Coed Volleyball;2013/2014;NJ;0;0;0;0;3;10
Dance Team, High Kick;2013/2014;NJ;0;0;0;0;3;10
Dance/Drill;2013/2014;NJ;0;0;0;0;3;10
Football -- 6-player;2013/2014;NJ;0;0;0;0;3;10
Adapted Soccer;2013/2014;NJ;0;0;0;0;3;10
Flag Football;2013/2014;NJ;0;0;0;0;3;10
Adapted Floor Hockey;2013/2014;NJ;0;0;0;0;3;10
Adapted Softball;2013/2014;NJ;0;0;0;0;3;10
Decathlon;2013/2014;NJ;0;0;0;0;3;10
Equestrian;2013/2014;NJ;0;0;0;0;3;10
Kayaking;2013/2014;NJ;0;0;0;0;3;10
Snowboarding;2013/2014;NJ;0;0;0;0;3;10
Team Tennis;2013/2014;NJ;0;0;0;0;3;10
Soft Tennis;2013/2014;NJ;0;0;0;0;3;10
Adapted Bowling;2013/2014;NJ;0;0;0;0;3;10
Softball -- Slow Pitch;2013/2014;NJ;0;0;0;0;3;10
Surfing;2013/2014;NJ;0;0;0;0;3;10
Air Riflery;2013/2014;NJ;0;0;0;0;3;10
Rythmic Gymnastics;2013/2014;NJ;0;0;0;0;3;10
RUGBY;2013/2014;NJ;0;0;0;0;3;10
Judo;2013/2014;NJ;0;0;0;0;3;10
Riflery;2013/2014;NJ;0;0;0;0;3;10
Native Youth Olympics;2013/2014;NJ;0;0;0;0;3;10
Rodeo;2013/2014;NJ;0;0;0;0;3;10
sailing;2013/2014;NJ;0;0;0;0;3;10
Crew;2013/2014;NJ;0;0;0;0;3;10
Water Polo;2013/2014;NJ;0;0;0;0;3;10
Pentathlon;2013/2014;NJ;0;0;0;0;3;10
None;2013/2014;NJ;0;0;0;0;3;10
Mt. Biking;2013/2014;NJ;0;0;0;0;3;10
Football -- 9-player;2013/2014;NJ;0;0;0;0;3;10
Dance Team, Jazz;2013/2014;NJ;0;0;0;0;3;10
Synchronized Swimming;2013/2014;NJ;0;0;0;0;3;10
DANCE;2013/2014;NJ;0;0;0;0;3;10
Competitive Spirit Squad;2013/2014;NJ;0;0;0;0;3;10
Baseball;2013/2014;NJ;0;16277;0;0,098364718;3;10
Adapted Track;2013/2014;NJ;0;0;0;0;3;10
Archery;2013/2014;NJ;0;0;0;0;3;10
Skiing -- Alpine;2013/2014;NJ;0;0;0;0;3;10
Outrigger Canoe Paddling LL;2013/2014;NJ;0;0;0;0;3;10
Heptathlon;2013/2014;NJ;0;0;0;0;3;10
Football -- 8-player;2013/2014;NJ;0;0;0;0;3;10
Volleyball;2013/2014;NM;4190;0;0,187321173;0;6;3,5
Basketball;2013/2014;NM;3720;4234;0,166309013;0,154407206;6;3,5
Track and Field -- Outdoor;2013/2014;NM;3627;4404;0,162151288;0,160606834;6;3,5
Softball -- Fast Pitch;2013/2014;NM;2557;0;0,114315093;0;6;3,5
Competitive Spirit Squad;2013/2014;NM;2449;143;0,109486767;0,005214981;6;3,5
Soccer;2013/2014;NM;2228;2451;0,099606581;0,089384049;6;3,5
Cross Country;2013/2014;NM;1371;1598;0,061292918;0,058276503;6;3,5
Tennis;2013/2014;NM;842;714;0,037643062;0,026038438;6;3,5
Swimming & Diving;2013/2014;NM;640;631;0,028612303;0,02301156;6;3,5
Golf;2013/2014;NM;377;726;0,016854435;0,026476058;6;3,5
Bowling;2013/2014;NM;216;217;0,009656652;0,007913643;6;3,5
Wrestling;2013/2014;NM;64;1846;0,00286123;0,067320667;6;3,5
Rodeo;2013/2014;NM;44;45;0,001967096;0,001641078;6;3,5
Football -- 11-Player;2013/2014;NM;30;7293;0,001341202;0,265964042;6;3,5
Baseball;2013/2014;NM;13;3119;0,000581187;0,11374494;6;3,5
RUGBY;2013/2014;NM;0;0;0;0;6;3,5
Mt. Biking;2013/2014;NM;0;0;0;0;6;3,5
DANCE;2013/2014;NM;0;0;0;0;6;3,5
Flag Football;2013/2014;NM;0;0;0;0;6;3,5
Adapted Track;2013/2014;NM;0;0;0;0;6;3,5
Dance Team, Jazz;2013/2014;NM;0;0;0;0;6;3,5
Crew;2013/2014;NM;0;0;0;0;6;3,5
Football -- 9-player;2013/2014;NM;0;0;0;0;6;3,5
Water Polo;2013/2014;NM;0;0;0;0;6;3,5
Weight Lifting;2013/2014;NM;0;0;0;0;6;3,5
Heptathlon;2013/2014;NM;0;0;0;0;6;3,5
Snowboarding;2013/2014;NM;0;0;0;0;6;3,5
Rythmic Gymnastics;2013/2014;NM;0;0;0;0;6;3,5
Lacrosse;2013/2014;NM;0;0;0;0;6;3,5
Archery;2013/2014;NM;0;0;0;0;6;3,5
Mixed 6-Coed Volleyball;2013/2014;NM;0;0;0;0;6;3,5
Pentathlon;2013/2014;NM;0;0;0;0;6;3,5
Decathlon;2013/2014;NM;0;0;0;0;6;3,5
Air Riflery;2013/2014;NM;0;0;0;0;6;3,5
sailing;2013/2014;NM;0;0;0;0;6;3,5
Synchronized Swimming;2013/2014;NM;0;0;0;0;6;3,5
Adapted Softball;2013/2014;NM;0;0;0;0;6;3,5
Skiing -- Alpine;2013/2014;NM;0;0;0;0;6;3,5
Dance/Drill;2013/2014;NM;0;0;0;0;6;3,5
